,Title,CPI INDEX 00: ALL ITEMS 2015=100
388,1988 Q3,49.9
389,1988 Q4,50.5
390,1989 Q1,51.0
391,1989 Q2,52.1
392,1989 Q3,52.5
393,1989 Q4,53.3
394,1990 Q1,53.9
395,1990 Q2,55.6
396,1990 Q3,56.4
397,1990 Q4,57.5
398,1991 Q1,57.7
399,1991 Q2,60.3
400,1991 Q3,60.8
401,1991 Q4,61.5
402,1992 Q1,61.7
403,1992 Q2,62.8
404,1992 Q3,62.7
405,1992 Q4,63.1
406,1993 Q1,63.2
407,1993 Q2,64.4
408,1993 Q3,64.5
409,1993 Q4,64.7
410,1994 Q1,64.7
411,1994 Q2,65.7
412,1994 Q3,65.6
413,1994 Q4,65.8
414,1995 Q1,66.3
415,1995 Q2,67.3
416,1995 Q3,67.4
417,1995 Q4,67.7
418,1996 Q1,68.1
419,1996 Q2,68.9
420,1996 Q3,68.9
421,1996 Q4,69.4
422,1997 Q1,69.4
423,1997 Q2,70.0
424,1997 Q3,70.3
425,1997 Q4,70.6
426,1998 Q1,70.5
427,1998 Q2,71.3
428,1998 Q3,71.2
429,1998 Q4,71.6
430,1999 Q1,71.6
431,1999 Q2,72.3
432,1999 Q3,72.1
433,1999 Q4,72.5
434,2000 Q1,72.1
435,2000 Q2,72.7
436,2000 Q3,72.7
437,2000 Q4,73.2
438,2001 Q1,72.8
439,2001 Q2,73.8
440,2001 Q3,73.8
441,2001 Q4,73.9
442,2002 Q1,73.9
443,2002 Q2,74.5
444,2002 Q3,74.6
445,2002 Q4,75.0
446,2003 Q1,75.0
447,2003 Q2,75.5
448,2003 Q3,75.6
449,2003 Q4,76.0
450,2004 Q1,75.9
451,2004 Q2,76.5
452,2004 Q3,76.6
453,2004 Q4,77.1
454,2005 Q1,77.3
455,2005 Q2,78.0
456,2005 Q3,78.4
457,2005 Q4,78.8
458,2006 Q1,78.7
459,2006 Q2,79.8
460,2006 Q3,80.3
461,2006 Q4,80.9
462,2007 Q1,81.0
463,2007 Q2,81.8
464,2007 Q3,81.7
465,2007 Q4,82.6
466,2008 Q1,82.9
467,2008 Q2,84.6
468,2008 Q3,85.7
469,2008 Q4,85.8
470,2009 Q1,85.4
471,2009 Q2,86.4
472,2009 Q3,86.9
473,2009 Q4,87.6
474,2010 Q1,88.2
475,2010 Q2,89.3
476,2010 Q3,89.6
477,2010 Q4,90.5
478,2011 Q1,91.8
479,2011 Q2,93.3
480,2011 Q3,93.8
481,2011 Q4,94.7
482,2012 Q1,95.1
483,2012 Q2,95.8
484,2012 Q3,96.1
485,2012 Q4,97.3
486,2013 Q1,97.7
487,2013 Q2,98.4
488,2013 Q3,98.7
489,2013 Q4,99.3
490,2014 Q1,99.4
491,2014 Q2,100.1
492,2014 Q3,100.1
493,2014 Q4,100.2
494,2015 Q1,99.5
495,2015 Q2,100.1
496,2015 Q3,100.1
497,2015 Q4,100.3
498,2016 Q1,99.8
499,2016 Q2,100.4
500,2016 Q3,100.9
501,2016 Q4,101.5
502,2017 Q1,102.0
503,2017 Q2,103.2
504,2017 Q3,103.7
505,2017 Q4,104.6
506,2018 Q1,104.7
507,2018 Q2,105.7
508,2018 Q3,106.3
509,2018 Q4,106.9
510,2019 Q1,106.7
511,2019 Q2,107.8
512,2019 Q3,108.3
513,2019 Q4,108.5
514,2020 Q1,108.5
515,2020 Q2,108.5
516,2020 Q3,108.9
517,2020 Q4,109.0
518,2021 Q1,109.2
519,2021 Q2,110.7
